AID,package name,class token,class name,method token,method name,method signature
A000000062010101,javacard.framework.service,2,RemoteService,2,processDataOut,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,3,BasicService,1,processDataIn,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,3,BasicService,2,processCommand,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,3,BasicService,3,processDataOut,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,3,BasicService,4,receiveInData,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,3,BasicService,5,setProcessed,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,3,BasicService,6,isProcessed,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,3,BasicService,7,setOutputLength,(javacard.framework.APDU;short)
A000000062010101,javacard.framework.service,3,BasicService,8,getOutputLength,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,3,BasicService,9,setStatusWord,(javacard.framework.APDU;short)
A000000062010101,javacard.framework.service,3,BasicService,10,getStatusWord,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,3,BasicService,11,fail,(javacard.framework.APDU;short)
A000000062010101,javacard.framework.service,3,BasicService,12,succeed,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,3,BasicService,13,succeedWithStatusWord,(javacard.framework.APDU;short)
A000000062010101,javacard.framework.service,3,BasicService,14,getCLA,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,3,BasicService,15,getINS,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,3,BasicService,16,getP1,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,3,BasicService,17,getP2,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,3,BasicService,18,selectingApplet,()
A000000062010101,javacard.framework.service,4,RMIService,1,processDataIn,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,4,RMIService,2,processCommand,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,4,RMIService,3,processDataOut,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,4,RMIService,4,receiveInData,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,4,RMIService,5,setProcessed,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,4,RMIService,6,isProcessed,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,4,RMIService,7,setOutputLength,(javacard.framework.APDU;short)
A000000062010101,javacard.framework.service,4,RMIService,8,getOutputLength,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,4,RMIService,9,setStatusWord,(javacard.framework.APDU;short)
A000000062010101,javacard.framework.service,4,RMIService,10,getStatusWord,(javacard.framework.APDU)
A000000062010101,javacard.framework.service,4,RMIService,11,fail,(javacard.framework.APDU;short)
